CENTRAL ID,Author(s),Title,Source,Year,Abstract,Volume,Issue,Pages,Database Name,PubMed ID,Embase ID,CTgov ID,CINAHL ID,ICTRP ID,Publication Type,Keywords,DOI,URL,Cochrane Review Group Code
"CN-02092396","Magee, LA; Rey, E; Asztalos, E; Hutton, E; Singer, J; Helewa, M; Lee, T; Logan, AG; Ganzevoort, W; Welch, R; Thornton, JG; von Dadelszen, P","Management of non-severe pregnancy hypertension - A summary of the CHIPS Trial (Control of Hypertension in Pregnancy Study) research publications","Pregnancy hypertension","2019","The international CHIPS Trial (Control of Hypertension In Pregnancy Study) enrolled 987 women with chronic (75%) or gestational (25%) hypertension. Pre‐eclampsia developed in 48%; women remained on their allocated BP control and delivered an average of two weeks later. 'Less tight' control (target diastolic BP 100 mmHg) achieved BP that was 6/5mmHg higher (p < 0.001) than 'tight' control (target diastolic 85 mmHg, BP achieved 133/85 mmHg). 'Less tight' (vs. 'tight') control resulted in similar adverse perinatal outcomes (31.5% vs. 30.7%; p = 0.84) that balanced birthweight < 10th percentile (16.1% vs. 19.8%; p = 0.14) against preterm birth (35.6% vs. 31.5%; p = 0.18). 12‐month follow‐up revealed no compelling evidence for developmental programming of child growth. However, 'less tight' (vs. 'tight') control resulted in more severe maternal hypertension (40.6% vs. 27.5%; p < 0.001), and more women with platelets < 100 × 109/L (4.3% vs. 1.6%; p = 0.02) or symptomatic elevated liver enzymes (4.3% vs. 1.8%; p = 0.03), with no difference in serious maternal complications (3.7% vs. 2.0%; p = 0.17). Labetalol was the drug of choice. Methyldopa did not result in inferior outcomes. Post‐hoc, severe hypertension, independent of pre‐eclampsia, was associated with heightened increased risk of adverse outcomes, and in 'less tight' control, of serious maternal complications. At no gestational age at initiation of BP control was 'less tight' superior to 'tight'. Women in both groups were equally satisfied with care. 'Less tight' control tended to be more expensive by CAD$6000 (p =0.07) based on neonatal care costs. Collectively, CHIPS publications have provided evidence that women with non‐severe pregnancy hypertension should receive 'tight' BP control achieved by a simple algorithm.","18",,"156‐162","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 31627057","EMBASE 2003349546",,,,"Journal article","*maternal hypertension /drug therapy; *patient care; Adult; Antihypertensive Agents [*therapeutic use]; Article; Birth weight; Blood pressure measurement; Blood pressure regulation; Canada; Clinical research; Diastolic blood pressure; Disease course; Disease severity; Evidence based practice; Female; Fetus outcome; Follow up; Gestational age; Health care cost; Hepatitis; Human; Humans; Hypertension, Pregnancy‐Induced [*drug therapy, economics]; Labetalol [*therapeutic use]; Obstetric delivery; Prediction; Preeclampsia; Pregnancy; Pregnancy complication /complication; Pregnancy outcome; Premature labor; Priority journal; Prognosis; Randomized Controlled Trials as Topic; Research Design; Risk factor; Thrombocyte; Treatment Outcome","10.1016/j.preghy.2019.08.166","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02092396/full",
"CN-02845771","Liu, D; Dou, C; Ye, C; Kong, L; Zhu, Z; Chen, M; Zheng, J; Xu, M; Xu, Y; Li, M; Zhao, Z; Lu, J; Chen, Y; Ning, G; Wang, W; Bi, Y; Wang, T","Chain effect of lifecourse reproductive characteristics and body fat and muscle on cardiovascular disease in women: a Mendelian randomization study","Cardiovascular diabetology","2025","Background: Delineating the causal chain effects of reproductive traits and fat‐ and muscle‐related traits on cardiovascular disease (CVD) is essential for optimizing precision prevention and control of cardiovascular health in women. Methods: In this study, we applied the two‐sample Mendelian randomization (MR) analyses and two‐step MR framework to investigate the causal chain effects and the mediating effect pathways among reproductive factors and fat‐ and muscle‐related traits on CVD outcomes in women, applying the genome‐wide association study summary statistics of 16 women's reproductive traits across puberty and pre‐pregnancy, pregnancy and postpartum, and menopausal transition stages, 16 women's fat‐ and muscle‐related traits, and five CVD outcomes of coronary artery disease (CAD), myocardial infarction (MI), heart failure, atrial fibrillation, and ischemic stroke (IS) from over one million individuals of European descent. Results: The MR analyses revealed the associations of genetically predicted nine reproductive traits (i.e., age at menarche [odds ratio (OR) for CAD: 0.92], age at first sexual intercourse [AFS; 0.71], age at first birth [AFB; 0.89], hypertensive disorders of pregnancy [HDP; 1.21], pre‐eclampsia [PE; 1.34], preterm birth [PTB; 1.09], sex hormone‐binding globulin [SHBG; 0.73], bioavailable testosterone [BT; 1.17], and number of stillbirths [OR for IS: 2.14]) and 13 fat‐ and muscle‐related traits with at least one of five CVD outcomes. Two‐step MR identified 30 causal pathways where AFS, AFB, HDP, PE, PTB, SHBG, and BT mediated the effects of body composition on five CVD outcomes, and nine pathways where waist‐to‐hip ratio, trunk‐trunk fat ratio, abdominal subcutaneous adipose tissue, and gluteofemoral adipose tissue mediated the effects of reproductive traits on CAD and MI. Conclusions: Lifecourse reproductive characteristics and fat‐ and muscle‐related traits manifested reciprocal mediating effects on CVD, informing targeted strategies for bridging cardiovascular health inequalities in women.","24","1","170","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 40251560","EMBASE 2034296758",,,,"Journal article","*Adiposity [genetics]; *Cardiovascular Diseases [diagnosis, epidemiology, genetics, physiopathology]; *Mendelian randomization analysis; *Muscle, Skeletal [physiopathology]; *Reproduction [genetics]; *Reproductive History; *body fat; *cardiovascular disease; *lifespan; *muscle; *reproduction; Abdominal subcutaneous fat; Adipose tissue; Adult; Age Factors; Article; Atrial fibrillation; Body composition; Controlled study; Coronary artery disease; Female; Genetic Predisposition to Disease; Genome‐Wide Association Study; Genome‐wide association study; Heart Disease Risk Factors; Heart failure; Heart infarction; Human; Humans; Hypertension; Ischemic stroke; Menarche; Mendelian Randomization Analysis; Menopause; Menstrual cycle; Middle Aged; Outcome assessment; Phenotype; Preeclampsia; Pregnancy; Prematurity; Prognosis; Puberty; Puerperium; Risk Assessment; Risk Factors; Sensitivity analysis; Sexual intercourse; Systematic review","10.1186/s12933-025-02681-0","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02845771/full",
"CN-01126116","Widmer, M; Cuesta, C; Khan, KS; Conde-Agudelo, A; Carroli, G; Fusey, S; Karumanchi, SA; Lapaire, O; Lumbiganon, P; Sequeira, E; Zavaleta, N; Frusca, T; Gulmezoglu, AM; Lindheimer, MD","Accuracy of angiogenic biomarkers at ⩽20weeks' gestation in predicting the risk of pre-eclampsia: a WHO multicentre study","Pregnancy hypertension","2015","Objective To assess the accuracy of angiogenic biomarkers to predict pre‐eclampsia. Design Prospective multicentre study. From 2006 to 2009, 5121 pregnant women with risk factors for pre‐eclampsia (nulliparity, diabetes, previous pre‐eclampsia, chronic hypertension) from Argentina, Colombia, Peru, India, Italy, Kenya, Switzerland and Thailand had their serum tested for sFlt‐1, PlGF and sEng levels and their urine for PlGF levels at ≤20, 23‐27 and 32‐35 weeks' gestation (index tests, results blinded from carers). Women were monitored for signs of pre‐eclampsia, diagnosed by systolic blood pressure ≥140 mmHg and/or diastolic blood pressure ≥90 mmHg, and proteinuria (protein/creatinine ratio ≥0.3, protein ≥1 g/l, or one dipstick measurement ≥2+) appearing after 20 weeks' gestation. Early pre‐eclampsia was defined when these signs appeared ≤34 weeks' gestation. Main outcome measure Pre‐eclampsia. Results Pre‐eclampsia was diagnosed in 198 of 5121 women tested (3.9%) of whom 47 (0.9%) developed it early. The median maternal serum concentrations of index tests were significantly altered in women who subsequently developed pre‐eclampsia than in those who did not. However, the area under receiver operating characteristics curve at ≤20 weeks' gestation were closer to 0.5 than to 1.0 for all biomarkers both for predicting any pre‐eclampsia or at ≤34 weeks' gestation. The corresponding sensitivity, specificity and likelihood ratios were poor. Multivariable models combining sEng with clinical features slightly improved the prediction capability. Conclusions Angiogenic biomarkers in first half of pregnancy do not perform well enough in predicting the later development of pre‐eclampsia.","5","4","330‐338","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 26597750","EMBASE 606678559",,,,"Journal article","*biological marker/ec [Endogenous Compound]; *diagnostic accuracy; *gestational age; *preeclampsia/di [Diagnosis]; Adult; Angiogenic Proteins [*blood]; Argentina; Article; Biomarkers [blood, urine]; Colombia; Controlled clinical trial; Controlled study; Diagnostic test accuracy study; Diastolic blood pressure; Endoglin/ec [Endogenous Compound]; Female; High risk patient; Human; Humans; Incidence; India; Italy; Kenya; Major clinical study; Multicenter study; Observational study; Peru; Placenta Growth Factor; Placental growth factor/ec [Endogenous Compound]; Predictive Value of Tests; Predictive value; Pregnancy; Pregnancy Proteins [blood, urine]; Pregnancy Trimester, First [blood]; Pregnancy Trimester, Second [blood]; Prevalence; Pre‐Eclampsia [*blood, *diagnosis, urine]; Priority journal; Prospective Studies; Prospective study; Protein blood level; Protein tyrosine kinase/ec [Endogenous Compound]; Protein urine level; Proteinuria/di [Diagnosis]; Receiver operating characteristic; Sensitivity and Specificity; Sensitivity and specificity; Soluble FMS like tyrosine kinase 1/ec [Endogenous Compound]; Switzerland; Systolic blood pressure; Thailand; Unclassified drug; Vascular Endothelial Growth Factor Receptor‐1 [blood]; World Health Organization","10.1016/j.preghy.2015.09.004","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01126116/full",
"CN-01199661","Marrs, C; Rahman, M; Dixon, CL; Chiossi, G; Costantine, M; Saade, G; Olson, GL","Hyperuricemia predicts immediate postpartum hypertension in women without a diagnosis of chronic hypertension","American journal of obstetrics and gynecology","2016","OBJECTIVE: The ACOG Task Force on hypertension in pregnancy recommended prospective clinical research on uric acid (UA) as a biomarker for adverse outcomes, given its ease and low cost. It also drew attention to the importance of hypertension or preeclampsia in the postpartum period. Our objective was to determine if antepartum elevated UA is associated with immediate postpartum hypertension (PP HTN) in women without underlying chronic hypertension (CHTN). STUDY DESIGN: This is a secondary analysis of a randomized trial of low dose aspirin to prevent preeclampsia. The parent trial enrolled women at 13‐26 weeks gestation with one of the following risk factors: pre‐gestational diabetes, CHTN, multiple gestation, or history of preeclampsia. Our analysis included women with singleton or multiple gestation who had an antepartum UA level recorded. Women with CHTN were excluded. We compared those with elevated UA (defined as ≥ 5.2 mg/dL) to those with normal UA (defined as < 5.2mg/dL). The value utilized was the highest of all antepartum and intrapartum UA results. Multivariable logistic regression analysis was conducted, after controlling for confounder variables, to determine the association of elevated UA with immediate PP HTN, defined as systolic blood pressure (BP) ≥ 150 mmHg, or diastolic BP ≥ 100 mmHg (the level at which antihypertensive medication is suggested by the ACOG Task Force). RESULTS: Of the 2,503 women in the parent trial, 556 met criteria for inclusion in this analysis. After adjustment, a UA level ≥ 5.2 mg/dL was associated with immediate PP HTN (adjusted odds ratio [aOR] 2.44, 95% confidence interval [CI] 1.63‐3.64). Other variables associated with immediate PP HTN were non‐Hispanic black (versus non‐Hispanic white; aOR 1.59, 95% CI 1.01‐2.50) and obesity (aOR 2.39, 95% CI 1.47‐3.87). The association between hyperuricemia and PP HTN was stronger among overweight (aOR 2.93, 95% CI 1.42‐6.05) and obese women (aOR 4.96, 95% CI 2.35‐ 10.49). CONCLUSION: Antepartum hyperuricemia is associated with immediate PP HTN. This association was even more pronounced among obese women. Elevated uric acid may help identify women who would benefit from additional surveillance or treatment in the immediate postpartum period and may aid in risk‐stratifying women in regard to the Task Force recommendations.","214","1","S347","Cochrane Central Register of Controlled Trials (CENTRAL)",,"EMBASE 72164843",,,,"Journal article; Conference proceeding","*diagnosis; *female; *human; *hypertension; *hyperuricemia; *pregnancy; *society; Adverse outcome; Clinical research; Confidence interval; Drug therapy; Gestational diabetes; Hispanic; Logistic regression analysis; Low drug dose; Maternal hypertension; Obesity; Parent; Preeclampsia; Puerperium; Risk; Risk factor; Secondary analysis; Systolic blood pressure",,"https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01199661/full","Pregnancy and Childbirth"
"CN-01249062","Bay, B; Ingerslev, HJ; Lemmen, JG; Degn, B; Rasmussen, IA; Kesmodel, US","Preimplantation genetic diagnosis: a national multicenter obstetric and neonatal follow-up study","Fertility and sterility","2016","Objective To study whether women conceiving after preimplantation genetic diagnosis (PGD) and their children have greater risks of adverse pregnancy and birth outcomes compared with children conceived spontaneously or after IVF with or without intracytoplasmic sperm injection (ICSI). Design Historical cohort study. Setting Not applicable. Patient(s) All deliveries following PGD treatment for single gene and sex‐linked disorders or structural chromosomal aberrations (n = 126 deliveries/149 children), IVF/ICSI treatment (n = 30,418 deliveries/36,115 children), and spontaneous conception (n = 896,448 deliveries/909,624 children). Intervention(s) None. Main Outcome Measure(s) Adverse obstetric and neonatal outcomes, such as pre‐eclampsia, preterm primary rupture of membranes, placenta previa, abruption of placenta, preterm birth, low birth weight, malformations, and neonatal admission. Result(s) Compared with spontaneously conceived pregnancies, PGD pregnancies were at significantly increased risk of placenta previa (adjusted odds ratio [ORa] 9.1; 95% confidence interval [95% CI] 3.4, 24.9), cesarean section (ORa 2.0; 95% CI 1.3, 2.9), preterm birth (ORa 1.6; 95% CI 1.0, 2.7), shorter gestation (mean difference −3.4 days; 95% CI −5.7, −1.1 days), and longer neonatal admission (mean difference 21 days; 95% CI 15, 28 days). The risks were comparable to that of pregnancies following IVF/ICSI. In subanalyses, adverse outcomes were only present in children conceived by PGD owing to parental monogenetic disorder and comparable to those of children born to parents with monogenic disorders conceiving without PGD, except for a higher risk of placenta previa. Conclusion(s) In this cohort study, the risk of adverse obstetric and neonatal outcomes was mainly related to the underlying parental condition rather than the PGD procedure.","106","6","1363‐1369.e1","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 27542705","EMBASE 613014149",,,,"Journal article","*Fertilization in Vitro [adverse effects]; *Genetic Testing; *Preimplantation Diagnosis [adverse effects]; *Preimplantation genetic diagnosis; *conception; *follow up; *pregnancy outcome; Adverse outcome; Biopsy; Cesarean section; Child; Chromosome aberration; Clinical trial; Cohort analysis; Confidence interval; Congenital malformation; Controlled clinical trial; Controlled study; Denmark; Female; Fertility; Genetic Diseases, Inborn [*diagnosis, genetics]; Human; Humans; Infertility [diagnosis, physiopathology, *therapy]; Intracytoplasmic sperm injection; Linear Models; Live Birth; Logistic Models; Low birth weight; Major clinical study; Male; Membrane; Monogenic disorder; Multicenter study; Multivariate Analysis; Newborn; Odds Ratio; Odds ratio; Placenta previa; Predictive Value of Tests; Preeclampsia; Pregnancy; Pregnancy Complications [etiology]; Risk Factors; Rupture; Solutio placentae; Sperm Injections, Intracytoplasmic; Treatment Outcome","10.1016/j.fertnstert.2016.07.1092","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01249062/full",
"CN-00157087","Hauth, J; Sibai, B; Caritis, S; VanDorsten, P; Lindheimer, M; Klebanoff, M; MacPherson, C; Landon, M; Paul, R; Miodovnik, M; Meis, P; Dombrowski, M; Thurnau, G; Walsh, S; McNellis, D; Roberts, JM","Maternal serum thromboxane B2 concentrations do not predict improved outcomes in high-risk pregnancies in a low-dose aspirin trial. The National Institute of Child Health and Human Development Network of Maternal-Fetal Medical Units","American journal of obstetrics and gynecology","1998","OBJECTIVE: The aim of the study was too determine whether, in a low‐dose aspirin trial in high‐risk pregnancies, a decrease in maternal serum thromboxane B2 level predicted improved pregnancy outcomes. STUDY DESIGN: This multicenter, randomized, double‐blind trial included 2539 women, 1010 of whom had sufficient serum samples at enrollment and at 24 to 28 weeks' gestation, 34 to 38 weeks' gestation, or both to assess longitudinal changes in thromboxane B2 level and their effects on pregnancy outcomes. Women were randomly assigned between 13 and 26 weeks' gestation to receive daily aspirin (60 mg) or placebo. RESULTS: Overall and in all subgroups women assigned to receive aspirin had markedly lower maternal thromboxane B2 concentration values than did those assigned to receive a placebo (P =.0001). Changes in thromboxane levels were not, however, correlated with adverse pregnancy outcomes. Women with >/=50% reduction in maternal serum thromboxane B2 concentrations from baseline had occurrences of preeclampsia (P =.922), preterm birth (P =.375), small for gestational age neonates (P =.938), and grade III or IV intraventricular hemorrhage (P = 1.000) similar to those of women who had <50% reduction. Similar results were found for women with thromboxane B2 level decreases of <15 versus >15 ng/mL and women with thromboxane B2 level decreases to <10 versus >/=10, <5 versus >/=5, and <1 versus >/=1 ng/mL. Maternal thromboxane B2 concentrations at enrollment were also not predictive of adverse outcomes. CONCLUSION: Neither maternal serum thromboxane B2 concentrations at enrollment nor their subsequent reduction were predictive of adverse pregnancy outcomes in a low‐dose aspirin trial.","179","5","1193‐1199","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 9822499",,,,,"Journal article","Aspirin [*administration &amp; dosage, therapeutic use]; Cyclooxygenase Inhibitors [*administration &amp; dosage, therapeutic use]; Dose‐Response Relationship, Drug; Double‐Blind Method; Female; Humans; Osmolar Concentration; Predictive Value of Tests; Pregnancy; Pregnancy Outcome; Risk Factors; Thromboxane B2 [*blood]","10.1016/s0002-9378(98)70130-9","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00157087/full",
"CN-02808738","NCT06798649,","Effect of Visual Presentation of Atherosclerotic Plaque on Modification of Arterial Hypertension One Year Postpartum in Women with a History of Adverse Pregnancy Outcomes, and Risk Customization with AI Prediction Algorithms","https://clinicaltrials.gov/study/NCT06798649","2025","Detailed Description:The GESTACOR study explores the proactive use of vascular imaging to improvecardiovascular health management in women who have experienced adverse pregnancy outcomes(APOs). This trial uniquely integrates advanced imaging techniques with traditionalcardiovascular health assessments to evaluate the efficacy of visual feedback on healthbehaviour and management.Methodology:Participants are randomly assigned to two groups: one receiving detailed imaging feedbackand the other receiving standard care without specific imaging results.Vascular imaging involves state‐of‐the‐art ultrasound techniques to detect arterialplaque, which could be indicative of heightened cardiovascular risk.Over 12 months, participants undergo regular health assessments, including blood pressuremonitoring, lipid profiling, and glucose testing, complemented by behavioural healthevaluations to capture lifestyle modifications and adherence to prescribed medicalregimens.Expected Impacts:The trial is structured to assess whether detailed feedback on vascular health can leaddirectly to better health outcomes through improved patient engagement and adherence topreventive measures.Outcomes of this research may lead to new guidelines for postpartum women, particularlythose with APOs, emphasizing early detection and intervention for cardiovascular riskfactors.Innovations and Advancements:GESTA‐COR is among the first studies to assess the direct impact of detailed vascularimaging feedback in a postpartum setting.The study's design allows for the collection of significant data on the interplay betweenvisual health information and patient‐driven health management.By focusing on a targeted female population traditionally underrepresented incardiovascular research, GESTA‐COR aims to fill a crucial gap in medical research andpotential clinical practice, emphasizing gender‐specific risk factors and tailoredinterventions. The findings could pave the way for integrated care approaches thatsignificantly enhance long‐term cardiovascular health in postpartum women.",,,,"Cochrane Central Register of Controlled Trials (CENTRAL)",,,"CTgov NCT06798649","","","Trial registry record","Cardiovascular Diseases; Diabetes, Gestational; Premature Birth; Pre‐Eclampsia",,"https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02808738/full",
"CN-01110495","Toering, TJ; van der Graaf, AM; Visser, FW; Groen, H; Faas, MM; Navis, G; Lely, AT","Higher filtration fraction in formerly early-onset preeclamptic women without comorbidity","American journal of physiology. Renal physiology","2015","Formerly preeclamptic women have an increased risk for developing end‐stage renal disease, which has been attributed to altered renal hemodynamics and abnormalities in the renin‐angiotensin‐aldosterone system. Whether this is due to preeclampsia itself or to comorbid conditions is unknown. Renal hemodynamics and responsiveness to ANG II during low Na(+) intake (7 days, 50 mmol Na(+)/24 h) and high Na(+) (HS) intake (7 days, 200 mmol Na(+)/24 h) were studied in 18 healthy normotensive formerly early‐onset preeclamptic women (fPE women) and 18 healthy control subjects (fHP women), all selected for absence of comorbidity. At the end of each diet, renal hemodynamics and blood pressure were measured before and during graded ANG II infusion. Both HS intake and former preeclampsia increased filtration fraction (FF) without an interaction between the two. FF was highest during HS intake in fPE women [0.31 ± 0.12 vs. 0.29 ± 0.11 in fHP women, generalized estimating equation analysis (body mass index corrected), P = 0.03]. The renal response to ANG II infusion was not different between groups. In conclusion, fPE women have a higher FF compared with fHP women. As this was observed in the absence of comorbidity, preeclampsia itself might exert long‐term effects on renal hemodynamics. However, we cannot exclude the presence of prepregnancy alterations in renal function, which, in itself, lead to an increased risk for preeclampsia. In experimental studies, an elevated FF has been shown to play a pathogenic role in the development of hypertension and renal damage. Future studies, however, should evaluate whether the subtle differences in renal hemodynamics after preeclampsia contribute to the increased long‐term renal risk after preeclampsia.","308","8","F824‐31","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 25694481",,"","","","Journal article","*Glomerular Filtration Rate [drug effects]; *Hemodynamics [drug effects]; *Renin‐Angiotensin System [drug effects]; Adult; Angiotensin II [administration &amp; dosage]; Blood Pressure; Comorbidity; Cross‐Over Studies; Diet, Sodium‐Restricted; Dose‐Response Relationship, Drug; Female; Gestational Age; Humans; Infusions, Intravenous; Kidney Failure, Chronic [diagnosis, ethnology, *etiology, physiopathology]; Kidney [drug effects, *physiopathology]; Netherlands [epidemiology]; Predictive Value of Tests; Pregnancy; Pre‐Eclampsia [diagnosis, ethnology, *physiopathology]; Renal Plasma Flow, Effective; Risk Factors; Sodium, Dietary [administration &amp; dosage]; White People","10.1152/ajprenal.00536.2014","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01110495/full",
"CN-01363479","Mone, F; Mulcahy, C; McParland, P; Breathnach, F; Morrison, J; Daly, S; Higgins, J; Cotter, A; Hunter, A; Tully, E; Dicker, P; Malone, F; McAuliffe, F","Performance of the fetal medicine foundation preeclampsia screening test in nulliparous women: results of the TEST Multicenter RCT","Reproductive sciences (Thousand Oaks, Calif.)","2017","INTRODUCTION: The Fetal Medicine Foundation (FMF) have devised a screening test which can predict the risk of developing preeclampsia from 11‐weeks based on an unselected population. Its' performance in low risk women is unknown. Objectives were to determine; (i) the performance of the screening test in placental disease prediction in nulliparous women, and (ii) which components of the test are best predictors. METHODS: 546 nulliparous women were randomized to; (1) 75mg aspirin from 11‐14 weeks, (2) no aspirin and (3) aspirin depending on the screening test result. It was only in group 3 that results were prospectively revealed with the remainder calculated retrospectively. Screening test components included (i) maternal history, (ii) mean arterial blood pressure (MAP), (ii) PAPP‐A and PLGF and (iii) uterine artery Doppler pulsatility index with calculation of preelampsia risk <42 weeks at a 1:8 cut off assessed using the FMF algorithm. The study was carried out by Perinatal Ireland and HRB Mother and Baby Clinical Trials Network. RESULTS: The rate of placental disease was 15%, with any preeclampsia 4% (n=22), early onset pre‐eclampsia 0.4% (n=2) and birth weight <10th centile 10% (n=57). The sensitivity and specificity for the FMF test in detecting preeclampsia <42‐weeks was 0.7 (0.46‐0.87) and 0.06 (0.04‐ 0.08) with an area under the curve (AUC) of 0.70. Preeclampsia prediction for individual groups is demonstrated in Figure 1. In terms of placental disease prediction sensitivities and specificities were 0.94 (0.91‐0.95) and 0.06 (0.05‐0.09) with and AUC of 0.66. Maternal risk factors and MAP at booking >88mmHg were the only significant predictors. CONCLUSIONS: The FMF screening test performs only moderately well in nulliparous women. Maternal history and MAP in early pregnancy are the only markers, which appear to perform optimally in their detection of placental disease. (Figuer Presented).","24","1","286A‐287A","Cochrane Central Register of Controlled Trials (CENTRAL)",,"EMBASE 615322846",,,,"Journal article; Conference proceeding","*controlled study; *medicine; *nullipara; *preeclampsia; *screening test; Area under the curve; Birth weight; Calculation; Clinical trial; Controlled clinical trial; Diagnostic test accuracy study; Drug therapy; Female; Fetus; First trimester pregnancy; Human; Infant; Ireland; Major clinical study; Mean arterial pressure; Multicenter study; Placenta disorder; Prediction; Pulsatility index; Randomized controlled trial; Risk factor; Sensitivity and specificity; Uterine artery","10.1177/1933719117699773","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01363479/full","Pregnancy and Childbirth"
"CN-01364489","Mone, F; Mulcahy, C; McParland, P; Breathnach, F; Morrison, JJ; Daly, S; Higgins, J; Cotter, A; Dornan, S; Tully, E; Dicker, P; Malone, FD; McAuliffe, FM","Performance of the fetal medicine foundation preeclampsia screening test in nulliparous women: results of the TEST multicenter RCT","BJOG","2017","Introduction To determine; (i) the performance of the Fetal Medicine Foundation (FMF) pre‐eclampsia screening test in placental disease prediction in low‐risk nulliparous women, and (ii) which components of the test are best predictors. Methods 546 nulliparous women were randomized to; (1) 75 mg aspirin from 11‐14 weeks, (2) no aspirin and (3) aspirin depending on the result of the screening test. It was only in group 3 that results were prospectively revealed with the remainder calculated retrospectively. Screening test components included (i) maternal history e.g. ovulation induced conception, ethnicity (ii) mean arterial blood pressure (MAP), (ii) PAPP‐A and PLGF and (iii) uterine artery Doppler pulsatility index. Results Of 546 women, the overall rate of placental disease was 15%, with a rate of any pre‐eclampsia 4.2% (n = 23) early onset pre‐eclampsia 0.4% (n = 2) and birthweight <10th centile 10.4% (n = 57). The sensitivity and specificity for the FMF test in detecting pre‐eclampsia <42 weeks was 0.7 (0.46‐0.87) and 0.06 (0.04‐0.08) with an area under the curve (AUC) of 0.70. Preeclampsia prediction for individual groups is demonstrated in Figure 1. In terms of placental disease prediction sensitivities and specificities were 0.94 (0.91‐0.95) and 0.06 (0.05‐0.09) with and AUC of 0.66. The presence of maternal risk factors and MAP at booking >88 mmHg were the only significant predictors of placental disease. Conclusion The FMF screening test performs only moderately well in nulliparous women. Maternal history and MAP in early pregnancy are the only markers, which appear to perform optimally in their detection of placental disease.","124",,"10","Cochrane Central Register of Controlled Trials (CENTRAL)",,"EMBASE 615223078",,,,"Journal article; Conference proceeding","*controlled study; *medicine; *nullipara; *preeclampsia; *screening test; Area under the curve; Birth weight; Clinical trial; Conception; Controlled clinical trial; Diagnostic test accuracy study; Drug therapy; Ethnicity; Female; Fetus; First trimester pregnancy; Human; Major clinical study; Mean arterial pressure; Multicenter study; Ovulation; Placenta disorder; Prediction; Pulsatility index; Risk factor; Sensitivity and specificity; Uterine artery","10.1111/1471-0528.14585","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01364489/full","Pregnancy and Childbirth"
"CN-01079081","Al-Jameil, N; Tabassum, H; Al-Mayouf, H; Al-Otay, L; Aziz Khan, F","Liver function tests as probable markers of preeclampsia - A prospective study conducted in riyadh","Journal of clinical and analytical medicine","2015","Aim: Preeclampsia is characterized by development of high blood pressure and proteinuria. It affects 5–8% of all pregnancies and is a major contributor to maternal and fetal morbidity and mortality. There is no single test that fulfills all the criteria for a good predictor of preeclampsia and associated hepatic dysfunction. The present study was therefore undertaken to assess the role of liver enzymes as marker in prediction of preeclampsia. Mate‐rial and Method: The study comprised of 120 pregnant women divided into three groups: normal pregnant women, women with high risk of preeclamp‐sia and women with preeclampsia. Serum levels of AST, ALT, ALP and LDH were analyzed and comparison of clinical characteristics and biochemical parameters of cases with control was performed by t‐test followed by one way ANOVA. Results: There was significant increase (p<0.001) in the levels of serum ALT and ALP in preeclampsia group compared to control and between high risk and PET group. Levels of AST also increased significantly (p<0.05) when preeclamptic group was compared with control and high risk group. Discussion: The study concludes that increase in liver enzymes in high risk group and PET group resulted due to hepatic dysfunction or abnormal liver functioning and may acts as predictor in diagnosis of preeclampsia in early stages of pregnancy.","6","4","461‐464","Cochrane Central Register of Controlled Trials (CENTRAL)",,"EMBASE 604061673",,,,"Journal article","*liver function test; *preeclampsia /diagnosis; Alanine aminotransferase blood level; Alkaline phosphatase blood level; Article; Aspartate aminotransferase blood level; Biochemical composition; Clinical feature; Controlled study; Female; High risk population; Human; Liver dysfunction; Positron emission tomography; Prediction; Pregnant woman; Prospective study; Risk assessment; Risk factor","10.4328/JCAM.2200","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01079081/full",
